Name,Total invested,Current valuation,Net profit,Absolute profit,Total installments,Internal rate of return,SIP start date,SIP end date
Aditya Birla Sun Life Government Securities Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend,"₹ 330,000.00","₹ 318,410.92","₹ -11,589.08",-3.51%,66,-1.29%,02-02-2013,25-07-2018
Aditya Birla Sun Life Income Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 330,000.00","₹ 320,913.21","₹ -9,086.79",-2.75%,66,-1.01%,02-02-2013,25-07-2018
Aditya Birla Sun Life Income Fund - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 402,930.98","₹ 72,930.98",22.10%,66,7.24%,02-02-2013,25-07-2018
Aditya Birla Sun Life Income Fund - Direct Plan - Debt - Income : Dividend,"₹ 210,000.00","₹ 220,317.81","₹ 10,317.81",4.91%,42,2.73%,02-02-2013,25-07-2018
Aditya Birla Sun Life Liquid Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 408,362.11","₹ 78,362.11",23.75%,66,7.72%,02-02-2013,25-07-2018
Aditya Birla Sun Life Liquid Fund - Direct Plan - Debt - Liquid : Dividend,"₹ 325,000.00","₹ 403,583.88","₹ 78,583.88",24.18%,65,7.98%,02-02-2013,25-07-2018
Aditya Birla Sun Life Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 416,188.81","₹ 86,188.81",26.12%,66,8.42%,02-02-2013,25-07-2018
Aditya Birla Sun Life Medium Term Plan - Direct Plan - Debt - Credit Opportunities : Dividend-Half Yearly,"₹ 330,000.00","₹ 335,326.01","₹ 5,326.01",1.61%,66,0.58%,02-02-2013,25-07-2018
Aditya Birla Sun Life Medium Term Plan - Direct Plan - Debt - Credit Opportunities : Dividend,"₹ 330,000.00","₹ 373,716.14","₹ 43,716.14",13.25%,66,4.50%,02-02-2013,25-07-2018
Aditya Birla Sun Life Medium Term Plan - Direct Plan - Debt - Credit Opportunities : Dividend-Quarterly,"₹ 330,000.00","₹ 324,926.02","₹ -5,073.98",-1.54%,66,-0.56%,02-02-2013,25-07-2018
Aditya Birla Sun Life Medium Term Plan - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 330,000.00","₹ 427,809.97","₹ 97,809.97",29.64%,66,9.42%,02-02-2013,25-07-2018
Aditya Birla Sun Life Money Manager Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 409,276.13","₹ 79,276.13",24.02%,66,7.81%,02-02-2013,25-07-2018
Aditya Birla Sun Life Savings Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 415,238.49","₹ 85,238.49",25.83%,66,8.34%,02-02-2013,25-07-2018
Aditya Birla Sun Life Short Term Opportunities Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 330,000.00","₹ 320,514.87","₹ -9,485.13",-2.87%,66,-1.05%,02-02-2013,25-07-2018
Aditya Birla Sun Life Short Term Opportunities Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 417,243.54","₹ 87,243.54",26.44%,66,8.51%,02-02-2013,25-07-2018
Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan - Equity - Banking : Growth,"₹ 280,000.00","₹ 487,682.89","₹ 207,682.89",74.17%,56,24.34%,02-02-2013,25-07-2018
Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan - Equity - Banking : Dividend,"₹ 280,000.00","₹ 426,912.79","₹ 146,912.79",52.47%,56,18.35%,02-02-2013,25-07-2018
Aditya Birla Sun Life Digital India Fund - Direct Plan - Equity - Technology : Dividend,"₹ 330,000.00","₹ 548,247.94","₹ 218,247.94",66.14%,66,18.56%,02-02-2013,25-07-2018
Aditya Birla Sun Life Digital India Fund - Direct Plan - Equity - Technology : Growth,"₹ 330,000.00","₹ 551,903.96","₹ 221,903.96",67.24%,66,18.80%,02-02-2013,25-07-2018
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan - Equity - MidCap : Growth,"₹ 330,000.00","₹ 451,506.83","₹ 121,506.83",36.82%,66,11.40%,02-02-2013,25-07-2018
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 330,000.00","₹ 451,508.00","₹ 121,508.00",36.82%,66,11.40%,02-02-2013,25-07-2018
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 443,564.74","₹ 113,564.74",34.41%,66,10.75%,02-02-2013,25-07-2018
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 567,977.70","₹ 237,977.70",72.11%,66,19.87%,02-02-2013,25-07-2018
Aditya Birla Sun Life Equity Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 552,039.77","₹ 222,039.77",67.28%,66,18.81%,02-02-2013,25-07-2018
Aditya Birla Sun Life Equity Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 454,689.61","₹ 124,689.61",37.78%,66,11.65%,02-02-2013,25-07-2018
Aditya Birla Sun Life Focused Equity Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 504,191.48","₹ 174,191.48",52.79%,66,15.46%,02-02-2013,25-07-2018
Aditya Birla Sun Life Focused Equity Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 504,162.89","₹ 174,162.89",52.78%,66,15.45%,02-02-2013,25-07-2018
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 504,165.95","₹ 174,165.95",52.78%,66,15.45%,02-02-2013,25-07-2018
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 504,293.62","₹ 174,293.62",52.82%,66,15.46%,02-02-2013,25-07-2018
Aditya Birla Sun Life Global Commodities Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 364,829.37","₹ 34,829.37",10.55%,66,3.63%,02-02-2013,25-07-2018
Aditya Birla Sun Life Global Commodities Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 315,000.00","₹ 321,002.54","₹ 6,002.54",1.91%,63,0.68%,02-02-2013,25-07-2018
Aditya Birla Sun Life Index Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 469,123.07","₹ 139,123.07",42.16%,66,12.80%,02-02-2013,25-07-2018
Aditya Birla Sun Life Index Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 281,435.08","₹ -48,564.92",-14.72%,66,-5.74%,02-02-2013,25-07-2018
Aditya Birla Sun Life India GenNext Fund - Direct Plan - Equity - Others : Dividend,"₹ 330,000.00","₹ 417,387.43","₹ 87,387.43",26.48%,66,8.52%,02-02-2013,25-07-2018
Aditya Birla Sun Life India GenNext Fund - Direct Plan - Equity - Others : Growth,"₹ 330,000.00","₹ 572,688.49","₹ 242,688.49",73.54%,66,20.18%,02-02-2013,25-07-2018
Aditya Birla Sun Life Infrastructure Fund - Direct Plan - Equity - Infrastructure : Dividend,"₹ 330,000.00","₹ 441,099.69","₹ 111,099.69",33.67%,66,10.54%,02-02-2013,25-07-2018
Aditya Birla Sun Life Infrastructure Fund - Direct Plan - Equity - Infrastructure : Growth,"₹ 330,000.00","₹ 488,987.33","₹ 158,987.33",48.18%,66,14.33%,02-02-2013,25-07-2018
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 210,000.00","₹ 256,111.65","₹ 46,111.65",21.96%,42,11.50%,02-02-2013,25-07-2018
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 210,000.00","₹ 220,558.71","₹ 10,558.71",5.03%,42,2.79%,02-02-2013,25-07-2018
Aditya Birla Sun Life Midcap Fund - Direct Plan - Equity - MidCap : Growth,"₹ 330,000.00","₹ 549,501.89","₹ 219,501.89",66.52%,66,18.64%,02-02-2013,25-07-2018
Aditya Birla Sun Life Midcap Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 330,000.00","₹ 500,205.95","₹ 170,205.95",51.58%,66,15.16%,02-02-2013,25-07-2018
Aditya Birla Sun Life MNC Fund - Direct Plan - Equity - Others : Growth,"₹ 330,000.00","₹ 578,077.29","₹ 248,077.29",75.17%,66,20.53%,02-02-2013,25-07-2018
Aditya Birla Sun Life MNC Fund - Direct Plan - Equity - Others : Dividend,"₹ 330,000.00","₹ 578,053.54","₹ 248,053.54",75.17%,66,20.53%,02-02-2013,25-07-2018
Aditya Birla Sun Life Pure Value Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 330,000.00","₹ 476,952.42","₹ 146,952.42",44.53%,66,13.41%,02-02-2013,25-07-2018
Aditya Birla Sun Life Pure Value Fund - Direct Plan - Equity - MidCap : Growth,"₹ 330,000.00","₹ 588,531.53","₹ 258,531.53",78.34%,66,21.20%,02-02-2013,25-07-2018
Aditya Birla Sun Life Small Cap Fund - Direct Plan - Equity - Small Cap : Dividend,"₹ 330,000.00","₹ 600,674.27","₹ 270,674.27",82.02%,66,21.96%,02-02-2013,25-07-2018
Aditya Birla Sun Life Small Cap Fund - Direct Plan - Equity - Small Cap : Growth,"₹ 330,000.00","₹ 600,887.24","₹ 270,887.24",82.09%,66,21.97%,02-02-2013,25-07-2018
Aditya Birla Sun Life Gold Fund - Direct Plan - Gold Fund : Growth,"₹ 330,000.00","₹ 335,755.66","₹ 5,755.66",1.74%,66,0.62%,02-02-2013,25-07-2018
Aditya Birla Sun Life Gold Fund - Direct Plan - Gold Fund : Dividend,"₹ 330,000.00","₹ 335,820.28","₹ 5,820.28",1.76%,66,0.63%,02-02-2013,25-07-2018
Aditya Birla Sun Life Tax Relief 96 - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 577,847.00","₹ 247,847.00",75.11%,66,20.51%,02-02-2013,25-07-2018
Aditya Birla Sun Life Tax Relief 96 - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 578,216.90","₹ 248,216.90",75.22%,66,20.54%,02-02-2013,25-07-2018
BNP Paribas Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Adhoc Dividend,"₹ 100,000.00","₹ 101,168.62","₹ 1,168.62",1.17%,20,1.38%,02-02-2013,25-07-2018
BNP Paribas Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Quarterly,"₹ 80,000.00","₹ 79,963.43",₹ -36.57,-0.05%,16,-0.07%,02-02-2013,25-07-2018
BNP Paribas Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Growth,"₹ 100,000.00","₹ 105,621.10","₹ 5,621.10",5.62%,20,6.61%,02-02-2013,25-07-2018
BNP Paribas Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Monthly,"₹ 80,000.00","₹ 80,368.15",₹ 368.15,0.46%,16,0.68%,02-02-2013,25-07-2018
BNP Paribas Conservative Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 330,000.00","₹ 438,018.93","₹ 108,018.93",32.73%,66,10.29%,02-02-2013,25-07-2018
BNP Paribas Conservative Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Quarterly,"₹ 330,000.00","₹ 343,399.01","₹ 13,399.01",4.06%,66,1.44%,02-02-2013,25-07-2018
BNP Paribas Conservative Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Monthly,"₹ 330,000.00","₹ 331,059.22","₹ 1,059.22",0.32%,66,0.12%,02-02-2013,25-07-2018
BNP Paribas Substantial Equity Hybrid Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 80,000.00","₹ 85,140.61","₹ 5,140.61",6.43%,16,9.45%,02-02-2013,25-07-2018
BNP Paribas Substantial Equity Hybrid Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 80,000.00","₹ 82,060.92","₹ 2,060.92",2.58%,16,3.78%,02-02-2013,25-07-2018
BNP Paribas Corporate Bond Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 330,000.00","₹ 334,501.16","₹ 4,501.16",1.36%,66,0.49%,02-02-2013,25-07-2018
BNP Paribas Corporate Bond Fund - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 413,864.25","₹ 83,864.25",25.41%,66,8.21%,02-02-2013,25-07-2018
BNP Paribas Corporate Bond Fund - Direct Plan - Debt - Income : Dividend-Annual,"₹ 330,000.00","₹ 317,727.64","₹ -12,272.36",-3.72%,66,-1.37%,02-02-2013,25-07-2018
BNP Paribas Corporate Bond Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 330,000.00","₹ 325,557.46","₹ -4,442.54",-1.35%,66,-0.49%,02-02-2013,25-07-2018
BNP Paribas Flexi Debt Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 330,000.00","₹ 330,728.26",₹ 728.26,0.22%,66,0.08%,02-02-2013,25-07-2018
BNP Paribas Flexi Debt Fund - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 412,149.53","₹ 82,149.53",24.89%,66,8.06%,02-02-2013,25-07-2018
BNP Paribas Flexi Debt Fund - Direct Plan - Debt - Income : Dividend-Half Yearly,"₹ 330,000.00","₹ 326,953.27","₹ -3,046.73",-0.92%,66,-0.33%,02-02-2013,25-07-2018
BNP Paribas Flexi Debt Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 330,000.00","₹ 327,630.31","₹ -2,369.69",-0.72%,66,-0.26%,02-02-2013,25-07-2018
BNP Paribas Liquid Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 407,348.89","₹ 77,348.89",23.44%,66,7.63%,02-02-2013,25-07-2018
BNP Paribas Liquid Fund - Direct Plan - Debt - Liquid : Dividend-Monthly,"₹ 330,000.00","₹ 331,520.59","₹ 1,520.59",0.46%,66,0.17%,02-02-2013,25-07-2018
BNP Paribas Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 412,319.22","₹ 82,319.22",24.95%,66,8.08%,02-02-2013,25-07-2018
BNP Paribas Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 329,872.11",₹ -127.89,-0.04%,66,-0.01%,02-02-2013,25-07-2018
BNP Paribas Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 329,744.50",₹ -255.50,-0.08%,66,-0.03%,02-02-2013,25-07-2018
BNP Paribas Medium Term Fund - Direct Plan - Debt - Income : Dividend-Half Yearly,"₹ 265,000.00","₹ 265,000.00",₹ 0.00,0.00%,53,0.00%,02-02-2013,25-07-2018
BNP Paribas Medium Term Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 265,000.00","₹ 261,595.24","₹ -3,404.76",-1.28%,53,-0.58%,02-02-2013,25-07-2018
BNP Paribas Medium Term Fund - Direct Plan - Debt - Income : Growth,"₹ 265,000.00","₹ 311,450.45","₹ 46,450.45",17.53%,53,7.33%,02-02-2013,25-07-2018
BNP Paribas Medium Term Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 265,000.00","₹ 264,547.05",₹ -452.95,-0.17%,53,-0.08%,02-02-2013,25-07-2018
BNP Paribas Medium Term Fund - Direct Plan - Debt - Income : Dividend-Annual,"₹ 265,000.00","₹ 261,516.30","₹ -3,483.70",-1.31%,53,-0.59%,02-02-2013,25-07-2018
BNP Paribas Short Term Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 329,938.46",₹ -61.54,-0.02%,66,-0.01%,02-02-2013,25-07-2018
BNP Paribas Short Term Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 330,000.00","₹ 328,600.42","₹ -1,399.58",-0.42%,66,-0.15%,02-02-2013,25-07-2018
BNP Paribas Short Term Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 411,918.88","₹ 81,918.88",24.82%,66,8.04%,02-02-2013,25-07-2018
BNP Paribas Focused 25 Equity Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 50,000.00","₹ 50,008.59",₹ 8.59,0.02%,10,0.04%,02-02-2013,25-07-2018
BNP Paribas Focused 25 Equity Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 50,000.00","₹ 49,998.24",₹ -1.76,0.00%,10,-0.01%,02-02-2013,25-07-2018
BNP Paribas Large Cap Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 382,476.29","₹ 52,476.29",15.90%,66,5.34%,02-02-2013,25-07-2018
BNP Paribas Large Cap Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 495,418.70","₹ 165,418.70",50.13%,66,14.81%,02-02-2013,25-07-2018
BNP Paribas Mid Cap Fund - Direct Plan - Equity - Midcap : Growth,"₹ 330,000.00","₹ 532,852.44","₹ 202,852.44",61.47%,66,17.50%,02-02-2013,25-07-2018
BNP Paribas Mid Cap Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 330,000.00","₹ 522,838.78","₹ 192,838.78",58.44%,66,16.80%,02-02-2013,25-07-2018
BNP Paribas Multi Cap Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 512,878.18","₹ 182,878.18",55.42%,66,16.09%,02-02-2013,25-07-2018
BNP Paribas Multi Cap Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 390,228.73","₹ 60,228.73",18.25%,66,6.07%,02-02-2013,25-07-2018
BNP Paribas Long Term Equity Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 489,899.38","₹ 159,899.38",48.45%,66,14.39%,02-02-2013,25-07-2018
BNP Paribas Long Term Equity Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 380,653.83","₹ 50,653.83",15.35%,66,5.17%,02-02-2013,25-07-2018
Sundaram Banking & PSU Debt Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 399,797.10","₹ 69,797.10",21.15%,66,6.95%,02-02-2013,25-07-2018
Sundaram Banking & PSU Debt Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 305,000.00","₹ 310,665.88","₹ 5,665.88",1.86%,61,0.72%,02-02-2013,25-07-2018
Sundaram Corporate Bond Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 175,000.00","₹ 193,092.58","₹ 18,092.58",10.34%,35,4.64%,02-02-2013,25-07-2018
Sundaram Corporate Bond Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 220,000.00","₹ 236,905.05","₹ 16,905.05",7.68%,44,4.03%,02-02-2013,25-07-2018
Sundaram Corporate Bond Fund - Direct Plan - Debt - Income : Dividend-Annual,"₹ 115,000.00","₹ 113,533.11","₹ -1,466.89",-1.28%,23,-1.31%,02-02-2013,25-07-2018
Sundaram Corporate Bond Fund - Direct Plan - Debt - Income : Growth,"₹ 315,000.00","₹ 387,547.82","₹ 72,547.82",23.03%,63,7.89%,02-02-2013,25-07-2018
Sundaram Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 338,334.26","₹ 8,334.26",2.53%,66,0.90%,02-02-2013,25-07-2018
Sundaram Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Quarterly,"₹ 330,000.00","₹ 352,599.77","₹ 22,599.77",6.85%,66,2.40%,02-02-2013,25-07-2018
Sundaram Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 412,947.91","₹ 82,947.91",25.14%,66,8.13%,02-02-2013,25-07-2018
Sundaram Medium Term Bond Fund - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 410,238.03","₹ 80,238.03",24.31%,66,7.89%,02-02-2013,25-07-2018
Sundaram Medium Term Bond Fund - Direct Plan - Debt - Income : Dividend-Annual,"₹ 330,000.00","₹ 353,193.25","₹ 23,193.25",7.03%,66,2.46%,02-02-2013,25-07-2018
Sundaram Medium Term Bond Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 330,000.00","₹ 306,468.31","₹ -23,531.69",-7.13%,66,-2.67%,02-02-2013,25-07-2018
Sundaram Money Fund - Direct Plan - Debt - Liquid : Dividend-Monthly,"₹ 330,000.00","₹ 333,693.85","₹ 3,693.85",1.12%,66,0.40%,02-02-2013,25-07-2018
Sundaram Short Term Credit Risk Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 175,000.00","₹ 178,772.05","₹ 3,772.05",2.16%,35,1.45%,02-02-2013,25-07-2018
Sundaram Short Term Credit Risk Fund - Direct Plan - Debt - Ultra Short Term : Dividend,"₹ 210,000.00","₹ 218,598.58","₹ 8,598.58",4.09%,42,2.28%,02-02-2013,25-07-2018
Sundaram Short Term Credit Risk Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 210,000.00","₹ 241,584.77","₹ 31,584.77",15.04%,42,8.07%,02-02-2013,25-07-2018
Sundaram Short Term Debt Fund - Direct Plan - Debt - Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 350,911.86","₹ 20,911.86",6.34%,66,2.22%,02-02-2013,25-07-2018
Sundaram Short Term Debt Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 325,000.00","₹ 337,713.39","₹ 12,713.39",3.91%,65,1.41%,02-02-2013,25-07-2018
Sundaram Short Term Debt Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 414,178.13","₹ 84,178.13",25.51%,66,8.24%,02-02-2013,25-07-2018
Sundaram Debt Oriented Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Half Yearly,"₹ 170,000.00","₹ 185,431.57","₹ 15,431.57",9.08%,34,4.01%,02-02-2013,25-07-2018
Sundaram Debt Oriented Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 330,000.00","₹ 428,531.41","₹ 98,531.41",29.86%,66,9.49%,02-02-2013,25-07-2018
Sundaram Debt Oriented Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Quarterly,"₹ 325,000.00","₹ 374,209.78","₹ 49,209.78",15.14%,65,5.19%,02-02-2013,25-07-2018
Sundaram Debt Oriented Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Monthly,"₹ 120,000.00","₹ 116,919.77","₹ -3,080.23",-2.57%,24,-2.53%,02-02-2013,25-07-2018
Sundaram Equity Hybrid Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 330,000.00","₹ 387,494.14","₹ 57,494.14",17.42%,66,5.82%,02-02-2013,25-07-2018
Sundaram Equity Hybrid Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 330,000.00","₹ 470,869.32","₹ 140,869.32",42.69%,66,12.94%,02-02-2013,25-07-2018
Sundaram Multi Asset Fund - Direct Plan - Hybrid - Others : Growth,"₹ 330,000.00","₹ 423,471.83","₹ 93,471.83",28.32%,66,9.05%,02-02-2013,25-07-2018
Sundaram Multi Asset Fund - Direct Plan - Hybrid - Others : Dividend,"₹ 330,000.00","₹ 344,050.46","₹ 14,050.46",4.26%,66,1.51%,02-02-2013,25-07-2018
Sundaram Diversified Equity Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 504,349.88","₹ 174,349.88",52.83%,66,15.47%,02-02-2013,25-07-2018
Sundaram Diversified Equity Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 334,554.95","₹ 4,554.95",1.38%,66,0.50%,02-02-2013,25-07-2018
Sundaram Financial Services Opportunities Fund - Direct Plan - Equity - Banking : Growth,"₹ 330,000.00","₹ 509,338.58","₹ 179,338.58",54.35%,66,15.83%,02-02-2013,25-07-2018
Sundaram Financial Services Opportunities Fund - Direct Plan - Equity - Banking : Dividend,"₹ 330,000.00","₹ 418,086.36","₹ 88,086.36",26.69%,66,8.58%,02-02-2013,25-07-2018
Sundaram Global Advantage Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 394,722.55","₹ 64,722.55",19.61%,66,6.50%,02-02-2013,24-07-2018
Sundaram Global Advantage Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 325,000.00","₹ 375,178.65","₹ 50,178.65",15.44%,65,5.29%,02-02-2013,24-07-2018
Sundaram Infrastructure Advantage Fund - Direct Plan - Equity - Infrastructure : Growth,"₹ 330,000.00","₹ 481,957.32","₹ 151,957.32",46.05%,66,13.79%,02-02-2013,25-07-2018
